,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL,rating_program_name
1,10000007,LEED,Non-profit,Office,"15,000 sq ft",November 12 2004,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"1314 2nd St, Santa Monica, CA, USA",http://www.gbig.org/buildings/3749,LEED NC 2.0
2,10000025,LEED,Local Government,Public Assembly,"10,700 sq ft",November 18 2005,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"12002 Osborne Street, Sylmar, CA, USA",http://www.gbig.org/buildings/1002379,LEED NC 2.0
3,10000042,LEED,Non-profit,Public Assembly,"18,650 sq ft",August 26 2008,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"12601 Mulholland Drive, Santa Monica Mountains National Recreation Area, Beverly Hills, CA, USA",http://www.gbig.org/buildings/90129,LEED NC 2.0
4,10000060,LEED,Investor,Public Assembly,"18,210 sq ft",January 06 2005,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"502 Colorado Avenue, Santa Monica, CA, USA",http://www.gbig.org/buildings/1002367,LEED NC 2.0
5,10000067,LEED,Corporate,Industrial Manufacturing,"43,000 sq ft",January 28 2004,"Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area",California Central Coast Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Medium metro,Pacific Gas and Electric Co.,"1200 La Brea Ave, Santa Maria, CA, USA",http://www.gbig.org/buildings/2786,LEED NC 2.0
6,10000086,LEED,State Government,Office,"394,000 sq ft",January 10 2003,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Sacramento Municipal Utility District,"1430 N St, Sacramento, CA, USA",http://www.gbig.org/buildings/4455,LEED NC 2.0
7,10000110,LEED,Federal Government,Other,"17,000 sq ft",March 03 2005,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",California Central Coast Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Medium metro,NA,"1172 Addor St, Port Hueneme, CA, USA",http://www.gbig.org/buildings/1301822,LEED NC 2.0
8,10000193,LEED,Local Government,K-12,"22,401 sq ft",NA,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"149 N White Rd, San Jose, CA, USA",http://www.gbig.org/buildings/4721,LEED NC 2.0
9,10000198,LEED,Corporate,Office,"625,000 sq ft",April 15 2003,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"1980 Western Way, Torrance, CA, USA",http://www.gbig.org/buildings/7216,LEED NC 2.0
10,10000216,LEED,Local Government,Public Assembly,"29,000 sq ft",May 22 2007,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"2200 Virginia Ave, Santa Monica, CA, USA",http://www.gbig.org/buildings/8596,LEED NC 2.0
11,10000226,LEED,Corporate,Industrial Manufacturing,"396,000 sq ft",June 16 2004,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Inland Empire Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"14020 Elm St, Cabazon, CA, USA",http://www.gbig.org/buildings/1308730,LEED NC 2.0
12,10000232,LEED,Corporate,Office,"160,446 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"3991 MacArthur Blvd #320, Newport Beach, CA, USA",http://www.gbig.org/buildings/1323581,LEED NC 2.0
13,10000235,LEED,Investor,Other,"647,614 sq ft",October 02 2007,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large fringe metro,Sierra Pacific Power Co.,"5001 Northstar Dr, Truckee, CA, USA",http://www.gbig.org/buildings/599641,LEED NC 2.0
